Type,Commentgroup,Chaine has chat-comms telecharged,Chat avec des sous catégories,Ville/Région,Communautés régionales de compatriotes,Titre_ru,Titre_fr,Titre_support,Lien,Date de création,Dérnier message,Nombre de messages (mai 2025),Nombre de messages (avril 2026),Type de communication,Thématique,Organisatio bénévole,Groupes de sources,Description,Nombre de participants (mai 2025),Nombre de participants (avril 2026),Téléchargé le ,Téléchargé
Bot,,,,National (russe),0,Будем жить | Чат-бот,Nous vivrons | chat-bot,,@budem_zhit_bot,,,,,Chaîne d'information,Générale,,Nous vivrons,Menu par thèmes ; acheminement des questions vers les services concernés ; collecte d'informations auprès des utilisateurs.,,,,
Chat,,,,National (russe),0,Граница. ДНР-РО (очереди),Frontière. RPD-RO (files d'attente),frontiere_rpdro_files_dattente,https://t.me/granicaRF2DPR,01.05.2018,présent,343523,360411,Messages structurés,Franchissement de la frontière,,Граница. ДНР-РО,"Rapports opérationnels sur les files d'attente, les points de contrôle, les itinéraires ; activité très intense.",40624,39400,12/04/2026,1
Chat,,,,National (russe),0,Граница ДНР-РО (болталка/FAQ),Frontière. RPD-RO (forum de discussion/FAQ),frontiere_rpdro_forum_discussions,https://t.me/Granica_DPRtoRF_flud,10.12.2018,présent,149938,149619,Communication/discussions/échange d'informations,Franchissement de la frontière,,Граница. ДНР-РО,"Complément d'information concernant les files d'attente ; questions relatives à l'assurance, aux documents, etc.",13020,10944,12/04/2026,1
Chat,,,,National (russe),0,ПОПУТЧИК Россия (перевозки/такси),COMPAGNON DE VOYAGE Russie (transport/taxi),compagnon_de_voyage_russie,https://t.me/PoputchikRFDNR,10.06.2018,présent,399927,518012,Messages structurés,Franchissement de la frontière,,,Recherche de compagnons de voyage/transporteurs ; des frais sont applicables pour la publication d'annonces.,14237,12744,12/04/2026,1
Chaine,,1,,National (russe),0,БЕЖЕНЦЫ | РОССИЯ,REFUGEÉS | RUSSIE,refugiees_russie,https://t.me/refugeesrussia,05.10.2022,présent,5412,5424,Chaîne d'information,Générale,Штаб помощи Краснодар,Беженцы Россия,"Portail d'information juridique ; il comprend également des forums dédiés au logement, à l'emploi et à Krasnodar, ainsi que des mémos et des actualités.",1815,1262,13/04/2026,1
Bot,,,,National (russe),0,Помощь беженцам и переселенцам (бот),Assistance aux réfugiés et aux personnes déplacées (bot),,@help_for_refugees_bot,,,,,,Générale,Штаб помощи Краснодар,,"Probablement inactif ; il s'agit d'un guide contenant des informations administratives destinées aux réfugiés, classées par ville.",,,,
Chat,1,,,National (russe),0,Общий чат | беженцы и переселенцы,Discussion générale | Réfugiés et personnes déplacées,refugiees_russie_chat,https://t.me/refugees_ru,21.09.2022,présent,27043,27237,Commentgoupe,Générale,Штаб помощи Краснодар,Беженцы Россия,Associé au canal « Réfugiés | Russie » ; échange d'expériences et de questions.,3832,2647,13/04/2026,1
Chat,,,,National (russe),0,Жилье | беженцы и переселенцы,Logement | Réfugiés et personnes déplacées,logement_refugies_et_personnes_depalcees,https://t.me/refugeeshouse,22.09.2022,présent,8913,9015,Communication/discussions/échange d'informations,Recherche de logement,Штаб помощи Краснодар,Беженцы Россия,"Discussion sur le logement ; les administrateurs du chat ont organisé la collecte des demandes par courrier électronique (composition de la famille, emplacement).",733,700,13/04/2026,1
Chat,,,,National (russe),0,Работа | беженцы и переселенцы,Travail | Réfugiés et personnes déplacées,travail_refugies_et_personnes_depalcees,https://t.me/refugeeswork,26.09.2022,2025-06-09 00:00:00,5832,5936,Messages structurés,Recherche de travail,Штаб помощи Краснодар,Беженцы Россия,Offres d'emploi et questions juridiques liées au travail ; recherche d'emploi.,588,521,13/04/2026,1
Chat,,,,National (russe),0,Правовая (юридическая) помощь,Assistance juridique,assistance_juridique,https://t.me/informpeople,03.05.2022,présent,71109,71712,Communication/discussions/échange d'informations,Assistance juridique,,,Explications juridiques et cas pratiques des participants,7660,7341,13/04/2026,1
Chaine,,1,,National (russe),0,Информационная площадка,Plateforme d'information,plateforme_dinformation,https://t.me/pravinf,18.05.2022,présent,6239,6297,Chaîne d'information,Générale,,Одного поля ягода,"Actualités, informations administratives/juridiques, accueil des réfugiés.",5543,5177,13/04/2026,1
Chat,1,,,National (russe),0,🫐Одного поля ягода🫐,🫐De la meme nature🫐,plateforme_dinformation_chat,https://t.me/informpeople1,22.05.2022,présent,125847,165059,Commentgoupe,Générale,,Одного поля ягода,Discussion générale pour l'échange d'informations.,5150,7371,13/04/2026,1
Chat,,,,National (russe),0,Вопросы. Ответы. Информационная помощь,Questions. Réponses. Assistance informative.,question_responses_assistance_informatique,https://t.me/otvet_spiski,29.03.2022,2025-01-27 00:00:00,6225,6229,Communication/discussions/échange d'informations,Générale,,,Assistance concernant les documents de la Fédération de Russie et les allocations ; associé au site mirnamvsem.com.,302,254,13/04/2026,1
Chaine,,1,,National (russe),0,Мир Нам Всем — помощь жителям Донбасса и Украины,Le monde pour tous — aide aux habitants du Donbass et de l'Ukraine,le_monde_pour_tous,https://t.me/mirnamvsem,19.04.2022,2025-09-06 00:00:00,1308,1333,Chaîne d'information,Générale,,,"Documents, allocations, écoles/crèches, centres d'aide.",1462,1192,13/04/2026,1
Chat,1,,,National (russe),0,Мир Нам Всем — помощь жителям Донбасса и Украины,Le monde pour tous — aide aux habitants du Donbass et de l'Ukraine,le_monde_pour_tous_chat,,19.04.2022,2025-09-06 00:00:00,,5362,Commentgoupe,Générale,,,"Documents, allocations, écoles/crèches, centres d'aide.",,5,13/04/2026,1
Chat,,,,National (russe),1,ПОМОЩЬ БЕЖЕНЦАМ С ДОНБАССА,ASSISTANCE AUX REFUGIES DU DONBASS,assistance_aux_refugies_du_donbass,https://t.me/donhelp,20.02.2022,présent,11762,11792,Communication/discussions/échange d'informations,Offre et recherche d'aide,,,Format de l'annonce : comment aider/ville/conditions/contacts ; plusieurs numéros de téléphone accessibles au public.,709,604,13/04/2026,1
Chat,,,,National (russe),1,Размещение беженцев из Донбасса,Accueil des réfugiés du Donbass,accueil_des_refugies_du_donbass,https://t.me/Donbass_help,19.02.2022,2022-09-03 00:00:00,3323,3324,Communication/discussions/échange d'informations,Recherche de logement,,,Annonces et demandes de logement.,2199,1057,13/04/2026,1
Chat,,,1,National (russe),1,Харьковские переселенцы | Беженцы в РФ,Les personnes déplacées de Kharkiv | Réfugiés en Fédération de Russie,les_personnes_deplacees_de_kharkiv,https://t.me/kharkov188rus,,,,99803,Chaîne d'information,Générale,,,"Sous-catégories : documents, avantages, frontière, travail, logement, PVR, etc.",6833,7761,13/04/2026,1
Chat,,,,National (russe),0,ГРАНИЦА ДНР/РО | Информация о состоянии очереди,FRONTIÈRE DNR/RO | Informations sur l'état de la file d'attente,frontiere_dnrro_informations_sur_letat_de_la_file_dattente,https://t.me/ocherednakppgruppa,15.05.2021,présent,67130,87424,Communication/discussions/échange d'informations,Franchissement de la frontière,,,"Rapports des postes de contrôle et des barrages routiers ; Fédération de Russie, Crimée, RPL, RPD.",15694,15519,14/04/2026,1
Chat,,,1,National (russe),0,ПВР Россия Пункты | Пункты временного размещения,PVR Russie Points | Points d'hébergement temporaire,pvr_russie_points,https://t.me/pvr_russia,,,,1506,Chaîne d'information,Centres d'hébergement temporaire (PVR),,,"Adresses PVR par région ; chaînes filiales sans commentaires, ainsi qu'un chat « communication ».",202,317,14/04/2026,1
Chat,,,,International,0,Нужно постричься (бесплатно),Il est nécessaire de se faire couper les cheveux (gratuitement).,,https://t.me/+paOSrvQ7-RNkNzEy,,,,,,Coiffeur,,,Discussion privée ; assistance aux réfugiés en Russie et en Europe.,97,,,
Chat,,,,National (russe),0,Помощь ПВР,Aide (PVR),,https://t.me/+pc6t5jSnrjY5NDYy,,,,,,Centres d'hébergement temporaire (PVR),,,3,736,,,
Chaine,,1,,National (russe),0,Помощь беженцам. Работа,Assistance aux réfugiés. Travail,assistance_aux_refugies_travail,https://t.me/nvr_help,19.04.2022,présent,2152,2170,Messages structurés,Recherche de travail,,Assistance aux réfugiés. Travail,Publication d'offres d'emploi et de CV.,619,504,14/04/2026,1
Chat,1,,,National (russe),0,Помощь беженцам. Работа,Assistance aux réfugiés. Travail,assistance_aux_refugies_travail_chat,,19.04.2022,présent,,3997,Commentgoupe,Recherche de travail,,Assistance aux réfugiés. Travail,Publication d'offres d'emploi et de CV.,,21,14/04/2026,1
Chat,,,1,Moscou et la région de Moscou,0,ШКОЛА (ПОМОЩЬ БЕЖЕНЦАМ),ECOLE (AIDE AUX REFUGIES),ecole_aide_aux_refugies,https://t.me/need2help_school,,,,17222,Communication/discussions/échange d'informations,Éducation des enfants / aide scolaire,,,"Sous-projets : forum de discussion, informations des organisateurs, cours gratuits ; été 2022, groupes en ligne.",933,800,14/04/2026,1
Chat,,,,Toula et la région de Toula,0,Помощь беженцам из Украины и вынужденным переселенцам из приграничных территорий РФ в Туле и Тульской обл,Assistance aux réfugiés ukrainiens et aux personnes déplacées des régions frontalières de la Fédération de Russie à Toula et dans la région de Toula,,https://t.me/+9niqaNfmibk5YTgy,,,,,,Activités d'une organisation bénévole,Помощь беженцам Тула,,"Groupe de bénévoles : vêtements, chaussures, produits d'entretien ménager, etc.",794,,,
Chat,,,,National (russe),0,Врачи в помощь беженцам,Médecins au service des réfugiés,,https://t.me/+bsRQct4_AVQ0Njcy,,,,,,Assistance médicale,,,Chat d'assistance médicale aux personnes déplacées de force en Fédération de Russie.,2684,,,
Chaine,,1,,National (russe),0,МЕДПОМОЩЬ,ASSISTANCE MEDICALE,assistance_medicale,https://t.me/medhelpdewenci,12.04.2022,2023-01-13 00:00:00,,204,Messages structurés,Assistance médicale,,Медпомощь,Horaires de permanence ; une confirmation du statut de réfugié est requise pour toute demande.,55,48,14/04/2026,1
Chat,1,,,National (russe),0,МЕДПОМОЩЬ,ASSISTANCE MEDICALE,assistance_medicale_chat,,12.04.2022,2023-01-13 00:00:00,,352,Commentgoupe,Assistance médicale,,Медпомощь,Horaires de permanence ; une confirmation du statut de réfugié est requise pour toute demande.,,2,14/04/2026,1
Chaine,,1,,National (russe),0,Медицинская помощь беженцам в РФ,Assistance médicale aux réfugiés en Fédération de Russie,assistance_medicale_aux_refugies_en_fdr,https://t.me/stopillnes,12.05.2022,2023-01-13 00:00:00,,215,Messages structurés,Assistance médicale,,Медпомощь беженцам в РФ,Une équipe de médecins bénévoles ; correspondance individuelle en dehors du canal ; informations pratiques sur les villes. ! Faire attention que cette chaine et la chaine d'avant ont exactement les memes messages ,253,217,14/04/2026,1
Chat,1,,,National (russe),0,Медицинская помощь беженцам в РФ,Assistance médicale aux réfugiés en Fédération de Russie,assistance_medicale_aux_refugies_en_fdr_chat,,12.05.2022,2023-01-13 00:00:00,,344,Commentgoupe,Assistance médicale,,Медпомощь беженцам в РФ,Une équipe de médecins bénévoles ; correspondance individuelle en dehors du canal ; informations pratiques sur les villes. ! Faire attention que cette chaine et la chaine d'avant ont exactement les memes messages ,,4,14/04/2026,1
Chat,,,,National (russe),0,Зелёный коридор (граница/Шереметьево),Corridor vert (frontière/Sheremetyevo),corridor_vert,https://t.me/greenkorridor,01.03.2022,présent ,16833,74080,Communication/discussions/échange d'informations,Franchissement de la frontière,,,"À l'origine, ce groupe a été créé dans le cadre de l'organisation du Corridor vert afin d'aider les habitants de Kharkiv à quitter la ville. Message du 2 mars : modification du message adressé à Belgorod avec la demande d'organiser la création du Corridor vert. Les personnes expriment leur souhait de faire partir leurs proches vers la Russie. En outre, elles discutent d'autres possibilités de départ et relatent les expériences de leurs connaissances. Les personnes s'organisent également elles-mêmes et forment des groupes pour évacuer les habitants de Kharkiv vers Belgorod. Elles organisent des évacuations et discutent des moyens possibles pour les réaliser. Le chat a été créé assez tôt, ce qui permet de suivre le déroulement des événements depuis le début de la guerre.",7132,6493,15/04/2026,1
Chat,,,,National (russe),1,Переселенцы из Ха обл. 🇷🇺,Personnes déplacées de Kha région. RU,,https://t.me/+5qeVS_cval05MmU6,,,,,,Générale,,,Échange d'expériences et d'informations.,,,,
Chat,,,,National (russe),1,РУССКИЕ ХАРЬКОВЧАНЕ,LES RUSSES DE KHARKIV,,https://t.me/sertificate_kharkov,,,,,Communication/discussions/échange d'informations,Générale,,,"Sous-catégories : actualités, garanties sociales, PVR/logement/emploi, recherche de proches, services, certificats de logement.",3070,,,
Chaine,,,,Taganrog,0,ПАМЯТКА ВОЛОНТЁРА,Mémo pour les bénévoles,memo_benevoles,https://t.me/pamyatka_volontera_pvr,19.04.2022,2022-05-15 00:00:00,,62,Chaîne d'information,Générale,,,/////]]]]]#,369,343,15/04/2026,1
Chaine,,1,,International,0,SanMedCar (перевозка лежачих),SanMedCar (transport de patients alités),sanmedcar_transport_de_patients_alites,https://t.me/sanmedcar,09.01.2020,présent,67162,,Messages structurés,Assistance médicale,,SanMedCar,"Ce canal a été créé avant le début de la guerre dans le but d'optimiser les processus commerciaux des entreprises fournissant des services de transport médical et sanitaire. Ainsi, ce canal publiait des informations sur les trajets afin de rechercher des « demandes de covoiturage ». Il est possible de suivre les changements apportés au service depuis 2022. Ils précisent également : « L'aggravation des relations entre l'Ukraine et la Russie a accru la demande de transport entre les deux pays (y compris le territoire de la RPL et de la RPD), mais avec le début des hostilités, la demande s'est maintenue. Cependant, à l'heure actuelle, nous n'avons la capacité technique de transporter des patients alités vers la Russie qu'à partir de Donetsk. Si la situation venait à changer, nous vous en informerions immédiatement. »",4393,,,
Chat,1,,,International,0,SanMedCar (перевозка лежачих),SanMedCar (transport de patients alités),sanmedcar_transport_de_patients_alites_chat,https://t.me/sanmedcar_chat,09.01.2020,présent,,,Commentgoupe,Assistance médicale,,SanMedCar,"Ce canal a été créé avant le début de la guerre dans le but d'optimiser les processus commerciaux des entreprises fournissant des services de transport médical et sanitaire. Ainsi, ce canal publiait des informations sur les trajets afin de rechercher des « demandes de covoiturage ». Il est possible de suivre les changements apportés au service depuis 2022. Ils précisent également : « L'aggravation des relations entre l'Ukraine et la Russie a accru la demande de transport entre les deux pays (y compris le territoire de la RPL et de la RPD), mais avec le début des hostilités, la demande s'est maintenue. Cependant, à l'heure actuelle, nous n'avons la capacité technique de transporter des patients alités vers la Russie qu'à partir de Donetsk. Si la situation venait à changer, nous vous en informerions immédiatement. »",,,,
Chat,,,,National (russe),0,Друзья программистов-волонтёров,Amis des programmeurs bénévoles,,https://t.me/+K_kpmNcLC0UxYzVi,,,,,,Assistance des developeurs,,,Assistance aux bénévoles : création gratuite de bots et de programmes.,29,,,
Chat,,,,National (russe),0,Полезная информация для беженцев,Informations utiles pour les réfugiés,infromations_utiles_pour_les_refugies,https://t.me/poleznaya_infa_bezency,10.06.2022,2024-08-20 00:00:00,1308,1323,Chaîne d'information,Générale,,,Repostage de documents utiles pour les réfugiés.,28,18,15/04/2026,1
Chaine,,1,,National (russe),1,Приключения херсонцев в России,Les aventures des habitants de Kherson en Russie,aventures_des_habitants_de_kherson_en_Russie,https://t.me/NovayaZhizneVO,17.11.2022,2025-07-28 00:00:00,486,518,Blog,Temoignage personelle de la migration,,Приключения Херсонцев в России,"Cette chaîne est une sorte de blog d'une famille de Kherson, dans lequel l'auteur raconte son expérience de déménagement, d'obtention de documents et partage également certaines actualités. Dans les commentaires, les gens réagissent aux publications et partagent également leurs histoires (https://t.me/chatXersonRU).",1280,1065,15/04/2026,1
Chat,1,,,National (russe),1,Приключения херсонцев в России,Les aventures des habitants de Kherson en Russie,aventures_des_habitants_de_kherson_en_Russie_chat,https://t.me/chatXersonRU,17.11.2022,2025-07-28 00:00:00,,74603,Commentgoupe,Temoignage personelle de la migration,,Приключения Херсонцев в России,"Cette chaîne est une sorte de blog d'une famille de Kherson, dans lequel l'auteur raconte son expérience de déménagement, d'obtention de documents et partage également certaines actualités. Dans les commentaires, les gens réagissent aux publications et partagent également leurs histoires (https://t.me/chatXersonRU).",1280,812,15/04/2026,1
Chat,,,,National (russe),0,Уехать от войны,Fuir la guerre,fuir_la_guerre,https://t.me/uehatizvoiny,17.11.2022,présent,19303,19739,Messages structurés,Offre et recherche d'aide,,Уехать от войны,"Il s'agit d'un chat privé qui nécessite l'approbation d'un administrateur pour y adhérer. Cependant, le contenu du chat est accessible à tous. Extrait du premier message : Groupe destiné à mettre en relation les résidents des régions de Kherson, Zaporijia et de la RPD de Donetsk qui souhaitent se rendre temporairement en Russie, ainsi que les Russes qui sont prêts à les accueillir. Il sert également à rechercher des personnes pouvant aider au déménagement. Messages sont strucutés par les hashtags. ",2989,2385,15/04/2026,1
Chat,,,,National (russe),0,УоВ флудилка ,Fuir la guerre flud,,https://t.me/+2CmN8yjcuY5iMGZi,,,,,,Générale,,Уехать от войны,,,,,
Chaine,,,,Rostov on Don et la région de Rostov,0,Ссылки для беженцев / РнД,Liens pour les réfugiés / RnD,liens_pour_les_refugies_rnd,https://t.me/rostovbegenzam,14.05.2022,2022-06-23 00:00:00,46,46,Agrégateur de liens,Générale,,,Recueil d'adresses d'organisations et de ressources utiles.,79,69,15/04/2026,1
Chaine,,,,National (russe),0,Сервисы реюза,Services de re-use,services_reuse,https://t.me/reuseservices,21.07.2020,présent,147,,Agrégateur de liens,Re-use/articles,,,"Ce canal a été créé avant le début de la guerre et n'est généralement pas destiné à aider les réfugiés. Malgré cela, ce service et les canaux similaires (des canaux plus petits regroupés par ville, région ou district) sont très répandus parmi les chats d'aide aux réfugiés, sont activement utilisés et apportent une contribution importante à l'aide apportée.",1870,,,  
Chat,,,,National (russe),0,Беженцы в России 🇷🇺,Réfugiés en Russie RU,refugies_en_russie_RU,https://t.me/helps_ukrainian,09.03.2022,présent,25947,26610,Communication/discussions/échange d'informations,Offre et recherche d'aide,,,"Logement, emploi, consultations ; attention précoce portée aux biens matériels ; thème « Sheremetyevo ».",4664,3822,15/04/2026,1
Chaine,,1,,International,0,Интесивы,Intensifs,intensifs,https://t.me/intensive_deti,03.10.2022,2022-12-06 00:00:00,47,47,Messages structurés,Éducation des enfants / aide scolaire,,Intensifs,Kits de bénévolat pour les cours ; actuellement inactif.,117,90,15/04/2026,1
Chat,1,,,International,0,Интесивы,Intensifs,intensifs_chat,,03.10.2022,2022-12-06 00:00:00,,,Commentgoupe,Éducation des enfants / aide scolaire,,Intensifs,Kits de bénévolat pour les cours ; actuellement inactif.,,,,
Chat,,,,International,0,MindClubOnline,MindClubOnline,mindclubonline,https://t.me/mindclubonline,17.03.2022,présent,4091,4434,Messages structurés,Éducation des enfants / aide scolaire,,,Cours quotidiens sur Zoom ; attachement à l'enseignement familial ; actif.,791,649,15/04/2026,1
Chaine,,,,National (russe),0,Гуманитарная психологическая помощь,Assistance psychologique humanitaire,assistance_psychologique_humanitaire,https://t.me/psychologicalhelpfree,11.04.2022,2022-12-21 00:00:00,7,,Organisationnel,Assistance psychologique,,,Demandes via le formulaire ; 1 à 3 consultations ; quelques publications — communication en dehors du canal.,73,,,
Chat,,,,National (russe),0,Бесплатная психологическая помощь,Assistance psychologique gratuite,,https://t.me/+JbawbU9PKOFkMTVi,,,,,,Assistance psychologique,,,Une équipe de psychologues professionnels ; assistance aux personnes affectées par le SVO.,205,,,
Chaine,,,,National (russe),0,Переезд с ребёнком | Адаптация,Déménager avec un enfant | Adaptation,demenager_avec_un_enfant,https://t.me/kids_adaptation,06.08.2022,2023-06-13 00:00:00,164,164,Chaîne d'information,Assistance psychologique,,,Conseils pour aider les enfants à s'adapter lors d'un déménagement.,1215,1059,15/04/2026,1
Chat,,,,International,0,АВТО-ЧАТ для присоединённых территорий,Auto-chat pour les territoires annexés,auto_chat,https://t.me/rst_avt_ru_22,12.08.2022,présent,18093,21421,Communication/discussions/échange d'informations,Auto/transport,,,Échange d'expériences sur les questions automobiles ; communication active et mutuellement bénéfique.,1747,1645,15/04/2026,1
Chaine,,1,,Oblast de Vladimir,0,Волонтёр Алла Сидорова. Донбасс Покров,Volontaire Alla Sidorova. Donbass Pokrov,benevole_sidorova,https://t.me/alla_2022mariupol,29.10.2022,présent,4690,11882,Organisationnel,Activités d'une organisation bénévole,Alla Sidorova,Alla Sidorova,"Depuis le début de l'invasion militaire, cette bénévole assiste les personnes touchées par les hostilités dans la région du Donbass. Cependant, d'après les rapports publiés sur sa chaîne, elle organise également l'aide aux réfugiés. La chaîne publie des comptes rendus d'activités et des reportages photo. L'auteure partage ses impressions, ses sentiments...",861,2223,18/04/2026,1
Chat,1,,,Oblast de Vladimir,0,Волонтёр Алла Сидорова. Донбасс Покров,Volontaire Alla Sidorova. Donbass Pokrov,benevole_sidorova_chat,https://t.me/DondassPokrov,29.10.2022,présent,,30223,Commentgoupe,Activités d'une organisation bénévole,Alla Sidorova,Alla Sidorova,"Depuis le début de l'invasion militaire, cette bénévole assiste les personnes touchées par les hostilités dans la région du Donbass. Cependant, d'après les rapports publiés sur sa chaîne, elle organise également l'aide aux réfugiés. La chaîne publie des comptes rendus d'activités et des reportages photo. L'auteure partage ses impressions, ses sentiments...",,875,18/04/2026,1
Chat,,,,Rostov on Don et la région de Rostov,0,Беженцы Ростов,Réfugiés à Rostov,refugies_rostov,https://t.me/Bejenci_rnd,24.03.2022,présent,82902,85739,Communication/discussions/échange d'informations,Générale,,,Échange d'informations et coordination de l'aide ; photographies des conditions de vie ; activité intense depuis le début de la guerre.,1256,997,19/04/2026,1
Chat,,,,Rostov on Don et la région de Rostov,1,Беженцы ЛДНР в Ростове,Réfugiés de la RPD et de la RPL à Rostov,refugies_rpd_rpl_a_rostov,https://t.me/migrant_rostov_rf,01.09.2022,2024-07-22 00:00:00,4138,4137,Chaîne d'information,Générale,,,"Des informations utiles, des offres d'emploi (pas uniquement à Rostov), des actualités, des décrets, des informations administratives (comment obtenir certains documents) sont publiées.",3356,2435,19/04/2026,1
Chat,,,,Rostov on Don et la région de Rostov,0,Ростов-на-Дону.Здоровье,Rostov on Don.Santé,,https://clck.ru/eYSeW,,,,,,Assistance médicale,,,Chaîne réservée aux professionnels de santé ; accès restreint.,,,,
Chat,,,,Rostov on Don et la région de Rostov,0,Мясниковский.Здоровье,Miasnikovski.Santé,,https://t.me/+8oJWCLfN7eFhOTIy,,,,,,Assistance médicale,,,Projet « ZdravKontrol » (Santé Controle) ; non accessible au public.,  ,,,
Chat,,,,Rostov on Don et la région de Rostov,0,Зверево.Здоровье,Zverevo. Santé,,https://t.me/+JwZic2P-xY1kMWMy,,,,,,Assistance médicale,,,Projet « ZdravKontrol » (Santé Controle) ; non accessible au public.,,,,
Chat,,,,Rostov on Don et la région de Rostov,0,Азов.Здоровье,Azov. Santé,,https://t.me/+7ZXHBQjz0bRiY2Iy,,,,,,Assistance médicale,,,Projet « ZdravKontrol » (Santé Controle) ; non accessible au public.,,,,
