Titre de l'article,Date,Lien,label
Гигантские пробки и ночь на границе. Как проходит эвакуация тысяч жителей Донбасса в РФ,2022-02-18 23:00:00,https://tass.ru/obschestvo/13763215,1
Более 400 человек и 150 единиц техники помогают при эвакуации жителей из ДНР и ЛНР,2022-02-18 23:00:00,https://tass.ru/proisshestviya/13763371,1
Ростовской области выделили 5 млрд рублей на оказание помощи беженцам из Донбасса,2022-02-18 23:17:00,https://tass.ru/ekonomika/13763439,1
"В Ростовскую область прибыли более 1,1 тыс. жителей Донбасса",2022-02-18 23:18:00,https://tass.ru/proisshestviya/13763457,1
В Ростовскую область поступит более 2 млн тестов на ковид для беженцев Донбасса,2022-02-18 23:45:00,https://tass.ru/obschestvo/13763621,1
"В МЧС ЛНР заявили, что республику покинули 25 тыс. человек",2022-02-18 23:51:00,https://tass.ru/obschestvo/13763629,1
Врио главы МЧС РФ потребовал начать выплаты беженцам из Донбасса в течение суток,2022-02-18 23:56:00,https://tass.ru/obschestvo/13763683,1
"Эвакуированных жителей ДНР разместили в ростовском пансионате ""Звезда""",2022-02-18 23:56:00,https://tass.ru/obschestvo/13763673,1
Ростовские власти привлекут РЖД к эвакуации жителей Донбасса в случае ухудшения ситуации,2022-02-19 00:00:00,https://tass.ru/proisshestviya/13763553,1
"Попова заявила, что беженцев из Донбасса будут тестировать на ковид в местах проживания",2022-02-19 00:08:00,https://tass.ru/obschestvo/13763743,1
В Россию эвакуировали тяжелобольных из медучреждений ДНР,2022-02-19 00:10:00,https://tass.ru/obschestvo/13762779,1
ДНР попросила сделать круглосуточной работу пешеходного пункта пропуска Ульновское-Шрамко,2022-02-19 00:54:00,https://tass.ru/obschestvo/13763701,1
В ЛНР готовят поезд для эвакуации жителей в Россию,2022-02-19 00:55:00,https://tass.ru/obschestvo/13763731,1
Психологов МЧС России привлекают для работы с эвакуированными из ДНР и ЛНР,2022-02-19 06:07:00,https://tass.ru/obschestvo/13764261,1
Для эвакуации жителей Донбасса в Ростовскую область сформировали шесть ж/д составов,2022-02-19 06:20:00,https://tass.ru/mezhdunarodnaya-panorama/13764317,1
На границе с Ростовской областью к полудню ожидают прибытия 25 тыс. эвакуированных из ЛНР,2022-02-19 06:41:00,https://tass.ru/obschestvo/13764425,1
"Водолацкий заявил, что проблем с выдачей единовременной помощи жителям Донбасса нет",2022-02-19 06:44:00,https://tass.ru/obschestvo/13764431,1
В Ростовской области ввели режим чрезвычайной ситуации,2022-02-19 07:10:00,https://tass.ru/proisshestviya/13764589,1
Единовременную помощь эвакуированным жителям Донбасса планируют выдать 19 февраля,2022-02-19 07:26:00,https://tass.ru/obschestvo/13764661,1
Отельеров Ростовской области попросили помочь в размещении беженцев с Донбасса,2022-02-19 07:30:00,https://tass.ru/obschestvo/13764681,1
"Якутия готова принять 1,5 тыс. беженцев из ДНР и ЛНР",2022-02-19 07:35:00,https://tass.ru/obschestvo/13764757,1
Беженцев из Донбасса могут направить в семь регионов России,2022-02-19 07:45:00,https://tass.ru/obschestvo/13764833,1
Российское движение школьников организовало сбор гуманитарной помощи для детей из ДНР,2022-02-19 08:10:00,https://tass.ru/obschestvo/13764967,1
В Ростовской области создали пункты временного размещения для беженцев на 13 тыс. мест,2022-02-19 08:24:00,https://tass.ru/obschestvo/13765169,1
Из Донбасса в Ростовскую область прибыли более 10 тыс. человек,2022-02-19 08:25:00,https://tass.ru/obschestvo/13765189,1
"""Единая Россия"" на Кубани открыла пункты сбора гуманитарной помощи для жителей ДНР и ЛНР",2022-02-19 08:33:00,https://tass.ru/obschestvo/13765213,1
Систему здравоохранения Ростовской области перевели на повышенный режим работы,2022-02-19 08:38:00,https://tass.ru/obschestvo/13765249,1
Попова: ситуация с ковидом в Ростовской области из-за беженцев из Донбасса не изменилась,2022-02-19 08:52:00,https://tass.ru/obschestvo/13765227,1
"Чуприян сообщил, что беженцев из Донбасса готовы принять 26 российских регионов",2022-02-19 09:03:00,https://tass.ru/obschestvo/13765485,1
"Порядка 2,3 млн тест-систем на коронавирус поставят в Ростовскую область в ближайшее время",2022-02-19 09:11:00,https://tass.ru/obschestvo/13765435,1
Краснодарский край готов принять и разместить эвакуированных из ДНР и ЛНР мирных жителей,2022-02-19 09:16:00,https://tass.ru/obschestvo/13765505,1
Органы власти Ростовской области перевели на круглосуточный режим работы,2022-02-19 09:19:00,https://tass.ru/obschestvo/13765607,1
Гуманитарную помощь беженцам из ЛНР и ДНР отправили из Нижегородской области,2022-02-19 09:44:00,https://tass.ru/obschestvo/13765875,1
С территории ЛНР в РФ на данный момент выехали 13 573 человека,2022-02-19 09:46:00,https://tass.ru/mezhdunarodnaya-panorama/13765953,1
Беженцев из Донбасса доставят железной дорогой в несколько регионов ЦФО,2022-02-19 09:49:00,https://tass.ru/obschestvo/13766013,1
На базе МЧС по Ростовской области открыли горячую линию для беженцев из Донбасса,2022-02-19 09:54:00,https://tass.ru/obschestvo/13766061,1
Из прифронтовых лечебниц в ЛНР эвакуировали более 150 тяжелобольных пациентов,2022-02-19 09:58:00,https://tass.ru/proisshestviya/13766099,1
Архангельская область готова принять 300 беженцев из ЛНР и ДНР,2022-02-19 09:58:00,https://tass.ru/obschestvo/13766051,1
"Молодежный актив ""Единой России"" прибыл в Ростовскую область для помощи жителям ДНР и ЛНР",2022-02-19 10:01:00,https://tass.ru/obschestvo/13766147,1
Попова предложила не размещать беженцев из Донбасса в Краснодарском крае и на Ставрополье,2022-02-19 10:15:00,https://tass.ru/obschestvo/13766299,1
В Ростовской области создают пункты питания и проживания для эвакуируемых с Донбасса,2022-02-19 10:26:00,https://tass.ru/obschestvo/13766397,1
Южная Осетия готова принять группу детей-сирот из ДНР,2022-02-19 10:26:00,https://tass.ru/obschestvo/13766361,1
Тульская область готова принять для размещения около 500 детей из ДНР и ЛНР,2022-02-19 10:28:00,https://tass.ru/obschestvo/13766405,1
"Водолацкий заявил, что около 36 тыс. беженцев прибыли на территорию Ростовской области",2022-02-19 10:32:00,https://tass.ru/obschestvo/13766473,1
Москалькова заявила о готовности оказывать помощь эвакуированным из ДНР и ЛНР,2022-02-19 10:47:00,https://tass.ru/obschestvo/13766647,1
"Воронежская область готова принять 4,5 тыс. беженцев из ДНР и ЛНР",2022-02-19 10:51:00,https://tass.ru/obschestvo/13766725,1
В Россию эвакуировали уже около 36 тыс. жителей Донбасса,2022-02-19 10:56:00,https://tass.ru/obschestvo/13766621,1
Брянская область готовится принять 500 беженцев из ДНР и ЛНР,2022-02-19 11:13:00,https://tass.ru/obschestvo/13766839,1
Регионы России готовы принять эвакуированных с Донбасса и предоставить помощь,2022-02-19 11:41:00,https://tass.ru/obschestvo/13767219,1
Справороссы и структуры Прилепина готовы помогать эвакуированным из ДНР и ЛНР,2022-02-19 11:44:00,https://tass.ru/obschestvo/13767329,1
"Губернатор Ростовской области заявил, что системы жизнеобеспечения работают штатно",2022-02-19 11:50:00,https://tass.ru/obschestvo/13767379,1
Около трети от всех эвакуированных жителей Донбасса составляют дети,2022-02-19 11:56:00,https://tass.ru/obschestvo/13767391,1
Пункты пропуска эвакуированных из Донбасса в Ростовской области оборудуют тепловизорами,2022-02-19 12:11:00,https://tass.ru/obschestvo/13767575,1
"Курская область готова принять до 1,5 тыс. эвакуированных из Донбасса",2022-02-19 12:15:00,https://tass.ru/obschestvo/13767643,1
Калининградская область готова принять 300 беженцев из ЛНР и ДНР,2022-02-19 12:34:00,https://tass.ru/obschestvo/13767763,1
"Водолацкий сообщил, что до 70% беженцев выезжают с территории ДНР и ЛНР самостоятельно",2022-02-19 12:37:00,https://tass.ru/obschestvo/13767795,1
Власти Ростовской области объявили сбор гуманитарной помощи для беженцев с Донбасса,2022-02-19 13:35:00,https://tass.ru/obschestvo/13768197,1
Режим повышенной готовности ввели в Воронежской области из-за приема беженцев из ДНР и ЛНР,2022-02-19 13:40:00,https://tass.ru/obschestvo/13768235,1
"В Госдуме заявили, что единороссы и волонтеры оказывают помощь беженцам из ДНР и ЛНР",2022-02-19 13:45:00,https://tass.ru/politika/13767933,1
Первые поезда с эвакуированными жителями Донбасса прибыли в Ростовскую область,2022-02-19 13:55:00,https://tass.ru/obschestvo/13768095,1
"Около 1,5 тыс. мест для беженцев из Донбасса подготовят в Подмосковье",2022-02-19 14:01:00,https://tass.ru/obschestvo/13768445,1
В Оренбургской области сформируют перечень вакансий для беженцев из ЛНР и ДНР,2022-02-19 14:04:00,https://tass.ru/obschestvo/13768435,1
Режим повышенной готовности вводится в Волгоградской области из-за приема жителей Донбасса,2022-02-19 14:10:00,https://tass.ru/obschestvo/13768591,1
Около 500 беженцев из ДНР и ЛНР прибудут 20 февраля в Орловскую область,2022-02-19 14:17:00,https://tass.ru/obschestvo/13768633,1
Более 750 жителей Луганска в течение дня эвакуировано в Россию,2022-02-19 15:22:00,https://tass.ru/mezhdunarodnaya-panorama/13769253,1
"Регионы Северного Кавказа смогут принять 3,3 тыс. беженцев из Донбасса",2022-02-19 15:45:00,https://tass.ru/obschestvo/13769317,1
Единороссы откроют в Ростовской области центр правовой поддержки для беженцев из Донбасса,2022-02-19 16:37:00,https://tass.ru/obschestvo/13769861,1
Пункт сбора гуманитарной помощи беженцам из ДНР и ЛНР открыли в Белгороде,2022-02-19 16:44:00,https://tass.ru/obschestvo/13769633,1
Глава ЕАО Гольдштейн заявил о готовности региона принять беженцев из Донбасса,2022-02-19 16:45:00,https://tass.ru/obschestvo/13769567,1
Помощь со всей России.,2022-02-19 16:47:00,https://tass.ru/mezhdunarodnaya-panorama/13770131,1
Первый поезд с беженцами из Донбасса отравился в Воронежскую область,2022-02-19 17:16:00,https://tass.ru/obschestvo/13770253,1
"В ЛНР заявили, что из республики в РФ 19 февраля эвакуировали более 3 тыс. человек",2022-02-19 17:18:00,https://tass.ru/obschestvo/13770219,1
"""Единая Россия"" окажет гуманитарную помощь эвакуированным из Донбасса жителям",2022-02-19 17:19:00,https://tass.ru/ekonomika/13770261,1
Беженцы из Донбасса начали получать выплаты по 10 тыс. рублей,2022-02-19 17:21:00,https://tass.ru/ekonomika/13770279,1
Более 4 тыс. беженцев из ДНР и ЛНР находятся в ростовских пунктах временного размещения,2022-02-19 17:40:00,https://tass.ru/obschestvo/13770375,1
"Тревога и мобилизация, но паники нет. Как проходит второй день эвакуации из ЛНР",2022-02-19 17:59:00,https://tass.ru/mezhdunarodnaya-panorama/13770399,1
"Волгоградская область готова принять 3,5 тыс. беженцев из ДНР и ЛНР",2022-02-19 18:25:00,https://tass.ru/obschestvo/13770553,1
Выездные банковские офисы организованы в Ростовской области для выплат жителям ДНР и ЛНР,2022-02-19 18:33:00,https://tass.ru/ekonomika/13770699,1
Северная Осетия готова разместить около 500 детей из ДНР и ЛНР,2022-02-19 18:49:00,https://tass.ru/obschestvo/13770869,1
"Университет в Ростове-на-Дону развернул два ПВР, разместив 120 жителей Донбасса",2022-02-19 19:04:00,https://tass.ru/obschestvo/13770951,1
"МЧС сообщает, что эвакуацию беженцев из Донбасса будут вести круглосуточно",2022-02-19 19:05:00,https://tass.ru/obschestvo/13770969,1
Губернатор ЕАО поручил подготовить пункты временного размещения для беженцев из Донбасса,2022-02-20 02:56:00,https://tass.ru/obschestvo/13771807,1
Амурская область готова принять беженцев из ДНР и ЛНР,2022-02-20 03:02:00,https://tass.ru/obschestvo/13771825,1
В Алтайском крае заявили о готовности принять беженцев из Донбасса,2022-02-20 04:46:00,https://tass.ru/obschestvo/13771931,1
МЧС России усилило группировку психологов для работы с беженцами из Донбасса,2022-02-20 05:06:00,https://tass.ru/obschestvo/13772015,1
Первый поезд с беженцами из Донбасса прибыл в Воронежскую область,2022-02-20 05:53:00,https://tass.ru/obschestvo/13772091,1
Около 950 тыс. жителей Донбасса подали заявления на гражданство России,2022-02-20 06:36:00,https://tass.ru/obschestvo/13772251,1
В МЧС заявили о готовности России вакцинировать прибывающих из Донбасса беженцев,2022-02-20 06:50:00,https://tass.ru/obschestvo/13772337,1
Около 1 тыс. беженцев из ДНР и ЛНР прибыли в Воронежскую область,2022-02-20 06:53:00,https://tass.ru/obschestvo/13772345,1
"Власти РФ ускорят выплаты беженцам с Донбасса, установив мобильные банкоматы в ПВР",2022-02-20 07:05:00,https://tass.ru/obschestvo/13772415,1
Среди эвакуированных из Донбасса выявили единичные случаи заражения коронавирусом,2022-02-20 07:13:00,https://tass.ru/obschestvo/13772491,1
"Около 6,5 тыс. жителей Донбасса находятся в ПВР в Ростовской области",2022-02-20 07:48:00,https://tass.ru/obschestvo/13772595,1
В Ростовской и Воронежской областях организуют обучение эвакуированных из Донбасса детей,2022-02-20 08:10:00,https://tass.ru/obschestvo/13772735,1
"В ЛНР сообщили, что эвакуировали в Россию более 28 тыс. жителей республики",2022-02-20 08:11:00,https://tass.ru/mezhdunarodnaya-panorama/13772815,1
"В Ростовской области заявили, что жители региона предлагают помощь беженцам из Донбасса",2022-02-20 08:25:00,https://tass.ru/obschestvo/13772887,1
"В МЧС зарегистрировали почти 30 регионов, готовых принять эвакуированных из Донбасса",2022-02-20 08:58:00,https://tass.ru/obschestvo/13773069,1
"Жители Донбасса с гражданством РФ, эвакуируемые в Россию, получат выплаты",2022-02-20 09:23:00,https://tass.ru/obschestvo/13773175,1
Третий поезд с жителями Донбасса прибудет в Воронеж к вечеру,2022-02-20 09:33:00,https://tass.ru/obschestvo/13773227,1
Более 5 тыс. жителей Донбасса на поездах в воскресенье доставят в четыре региона России,2022-02-20 09:39:00,https://tass.ru/obschestvo/13773311,1
"Кузнецова заявила, что россияне готовы принять в семьи детей-сирот из Донбасса",2022-02-20 10:30:00,https://tass.ru/obschestvo/13773569,1
Четвертый поезд с эвакуированными жителями Донбасса отправится в Нижний Новгород,2022-02-20 11:01:00,https://tass.ru/obschestvo/13773767,1
Второй поезд доставил около 1 тыс. жителей ДНР и ЛНР в Воронежскую область,2022-02-20 11:59:00,https://tass.ru/obschestvo/13774293,1
В Нижний Новгород прибудут около 1 тыс. эвакуированных жителей Донбасса,2022-02-20 12:21:00,https://tass.ru/obschestvo/13774463,1
Единороссы откроют в регионах правовые центры помощи для прибывших из ДНР и ЛНР,2022-02-20 12:22:00,https://tass.ru/obschestvo/13774459,1
"Волонтерский штаб ""Мы вместе"" в Ростове-на-Дону начал оказывать помощь жителям Донбасса",2022-02-20 12:50:00,https://tass.ru/obschestvo/13774587,1
В Ростовской области подготовили 188 ПВР для почти 14 тыс. жителей Донбасса,2022-02-20 13:32:00,https://tass.ru/obschestvo/13774765,1
Саратовская область планирует принять 500 эвакуированных из ЛНР и ДНР,2022-02-20 14:49:00,https://tass.ru/obschestvo/13775195,1
Режим повышенной готовности ввели в Рязанской области в связи с приемом жителей Донбасса,2022-02-20 15:04:00,https://tass.ru/obschestvo/13775275,1
Ростовский благотворительный фонд вновь запустил программу помощи прибывающим из Донбасса,2022-02-20 15:09:00,https://tass.ru/obschestvo/13775315,1
Второй поезд эвакуировал из Луганска в Россию около 800 жителей ЛНР,2022-02-20 15:58:00,https://tass.ru/obschestvo/13775351,1
Из Ростовской области в регионы отправятся 15 поездов с гражданами Донбасса,2022-02-20 17:17:00,https://tass.ru/obschestvo/13776051,1
"Володацкий заявил, что эвакуация жителей Донбасса в Ростовскую область проходит штатно",2022-02-20 17:20:00,https://tass.ru/obschestvo/13776067,1
"Выплаты в 10 тыс. рублей получили 700 жителей Донбасса, эвакуированных в Россию",2022-02-20 17:21:00,https://tass.ru/ekonomika/13776071,1
Воронеж начал принимать эвакуированных жителей ДНР и ЛНР,2022-02-20 17:40:00,https://tass.ru/obschestvo/13776141,1
Третий поезд доставил в Воронеж около 500 эвакуированных из Донбасса жителей,2022-02-20 17:47:00,https://tass.ru/obschestvo/13776267,1
Более 250 пунктов временного размещения в России готовы принять жителей Донбасса,2022-02-20 17:51:00,https://tass.ru/obschestvo/13776293,1
В Курской области ввели режим ЧС,2022-02-20 17:57:00,https://tass.ru/obschestvo/13776321,1
В Ростовской области началась вакцинация среди эвакуированных жителей Донбасса,2022-02-20 18:08:00,https://tass.ru/obschestvo/13776419,1
В Волгоградской области развернули четыре ПВР для эвакуируемых из ЛНР и ДНР,2022-02-20 18:16:00,https://tass.ru/obschestvo/13776491,1
Первый поезд с эвакуированными жителями ДНР и ЛНР прибыл в Курскую область,2022-02-20 18:25:00,https://tass.ru/obschestvo/13776599,1
В Волгоградскую область прибыл первый поезд с эвакуированными жителями Донбасса,2022-02-20 18:31:00,https://tass.ru/obschestvo/13776629,1
В Волгоградской области организуют обучение эвакуированных из Донбасса детей при ПВР,2022-02-20 18:36:00,https://tass.ru/obschestvo/13776635,1
Чечня направит продовольственную помощь в Ростовскую область для беженцев из Донбасса,2022-02-20 18:45:00,https://tass.ru/obschestvo/13776685,1
В Орловской области пять пунктов временного размещения готовы к приему жителей ДНР и ЛНР,2022-02-20 18:51:00,https://tass.ru/obschestvo/13776695,1
В Ростовской области эвакуированным жителям Донбасса выдают местные сим-карты,2022-02-20 18:55:00,https://tass.ru/obschestvo/13776707,1
В регионах России начали сбор гуманитарной помощи для эвакуированных из Донбасса,2022-02-20 19:01:00,https://tass.ru/obschestvo/13775657,1
В Пензенской области ввели режим ЧС в связи с ожидаемым прибытием жителей Донбасса,2022-02-21 04:59:00,https://tass.ru/obschestvo/13778009,1
Москалькова направила в Ростовскую область сотрудников для помощи жителям Донбасса,2022-02-21 05:45:00,https://tass.ru/obschestvo/13778159,1
Более 600 жителей ДНР и ЛНР разместили в четырех пунктах временного размещения в Воронеже,2022-02-21 06:03:00,https://tass.ru/obschestvo/13778235,1
В Россию прибыли более 61 тыс. жителей Донбасса,2022-02-21 06:18:00,https://tass.ru/obschestvo/13778351,1
В Саратовской области введут режим ЧС из-за ожидаемого прибытия жителей Донбасса,2022-02-21 06:46:00,https://tass.ru/obschestvo/13778417,1
Эвакуируемые из Донбасса смогут подавать заявления на выплаты уже на границе России,2022-02-21 06:49:00,https://tass.ru/obschestvo/13778509,1
Почти 2 тыс. школьников из Донбасса зачислят в школы Ростовской области,2022-02-21 06:55:00,https://tass.ru/obschestvo/13778335,1
Забайкалье готово принять не менее 700 эвакуированных жителей Донбасса,2022-02-21 06:58:00,https://tass.ru/obschestvo/13778567,1
Более 6 тыс. жителей Донбасса находятся в 99 пунктах размещения в Ростовской области,2022-02-21 07:13:00,https://tass.ru/obschestvo/13778853,1
В Волгоградской области ввели режим ЧС в связи с прибытием жителей Донбасса,2022-02-21 07:50:00,https://tass.ru/obschestvo/13779127,1
Четвертый за сутки поезд с эвакуированными жителями Донбасса прибыл в Воронеж,2022-02-21 08:01:00,https://tass.ru/obschestvo/13779647,1
Власти Ростовской области предложат работу эвакуированным жителям Донбасса,2022-02-21 08:23:00,https://tass.ru/obschestvo/13779375,1
Липецкая область готова принять в ближайшие сутки 750 эвакуированных жителей Донбасса,2022-02-21 08:27:00,https://tass.ru/obschestvo/13780051,1
Ленобласть распределит в школы прибывающих из Донбасса детей,2022-02-21 08:46:00,https://tass.ru/obschestvo/13780549,1
"Первые 1,5 тыс. жителей Донбасса прибудут в Подмосковье 22 февраля",2022-02-21 09:14:00,https://tass.ru/obschestvo/13781097,1
Из Луганска отправился третий пассажирский поезд с эвакуируемыми в Россию жителями ЛНР,2022-02-21 09:20:00,https://tass.ru/obschestvo/13781277,1
Крым отправил первую партию гуманитарной помощи для жителей Донбасса,2022-02-21 09:30:00,https://tass.ru/obschestvo/13781335,1
"В МЧС сообщили, что переселенцев из Донбасса готовы принять 43 региона",2022-02-21 09:41:00,https://tass.ru/obschestvo/13781503,1
В Орловской области для беженцев ЛНР и ДНР развернули шесть пунктов временного размещения,2022-02-21 09:48:00,https://tass.ru/obschestvo/13781603,1
Во всех ПВР Ростовской области организованы занятия с эвакуированными из Донбасса детьми,2022-02-21 09:52:00,https://tass.ru/obschestvo/13781477,1
Подмосковье направит первый груз гуманитарной помощи в Ростовскую область,2022-02-21 10:01:00,https://tass.ru/obschestvo/13781627,1
Выплаты эвакуированным из Донбасса будут производить до последнего заявления,2022-02-21 10:01:00,https://tass.ru/obschestvo/13781791,1
"В Ростовской области за сутки разместили в ПВР 2,3 тыс. эвакуированных из Донбасса",2022-02-21 10:10:00,https://tass.ru/obschestvo/13782013,1
Опубликован документ кабмина о выделении 5 млрд руб. на выплаты эвакуированным из Донбасса,2022-02-21 10:12:00,https://tass.ru/obschestvo/13781965,1
"СФ заявил, что выплаты жителям Донбасса не скажутся отрицательно на соцгарантиях россиян",2022-02-21 10:20:00,https://tass.ru/politika/13781921,1
Республика Алтай готова принять до ста эвакуированных из ДНР и ЛНР,2022-02-21 10:28:00,https://tass.ru/obschestvo/13782295,1
ВЦИОМ: около 80% россиян поддерживают решение о приеме эвакуированных из ДНР и ЛНР,2022-02-21 10:36:00,https://tass.ru/obschestvo/13782431,1
Ростовские власти прорабатывают вопрос выплат для воспитанников детдомов Донбасса,2022-02-21 10:47:00,https://tass.ru/obschestvo/13782025,1
В Ульяновской области ввели режим ЧС в связи с принятием эвакуированных жителей Донбасса,2022-02-21 10:55:00,https://tass.ru/obschestvo/13782575,1
Пять компаний из Подмосковья предоставят по 100 млн рублей для помощи беженцам из Донбасса,2022-02-21 11:18:00,https://tass.ru/obschestvo/13782917,1
Чуприян проверил работу пунктов временного размещения на границе с ЛНР,2022-02-21 11:27:00,https://tass.ru/obschestvo/13782961,1
В Брянскую и Орловскую области первые поезда с жителями ДНР и ЛНР прибудут 22 февраля,2022-02-21 11:27:00,https://tass.ru/obschestvo/13782571,1
В ростовскую больницу доставили пять тяжелобольных детей из ЛНР,2022-02-21 11:47:00,https://tass.ru/obschestvo/13783181,1
Из Ростовской области в другие регионы отправили 8 тыс. эвакуированных из Донбасса,2022-02-21 11:57:00,https://tass.ru/obschestvo/13783445,1
Принимающим жителей Донбасса регионам окажут помощь из федерального бюджета,2022-02-21 11:57:00,https://tass.ru/obschestvo/13783411,1
В Тюмени открыли три дополнительные точки по сбору помощи эвакуированным жителям Донбасса,2022-02-21 12:27:00,https://tass.ru/obschestvo/13783905,1
Орловские власти обеспечат эвакуированных жителей ДНР и ЛНР бесплатными лекарствами,2022-02-21 12:29:00,https://tass.ru/obschestvo/13783909,1
С заявлениями на получение выплат обратились 4 тыс. эвакуированных из Донбасса,2022-02-21 12:39:00,https://tass.ru/obschestvo/13784117,1
На содержание эвакуированных из Донбасса в ПВР выделят по 800 рублей в сутки на человека,2022-02-21 12:43:00,https://tass.ru/obschestvo/13783605,1
Единороссы отправили гумпомощь в Ростовскую и Воронежскую области для жителей Донбасса,2022-02-21 12:45:00,https://tass.ru/obschestvo/13784343,1
Брянская область направляет 80 тонн гуманитарной помощи эвакуированным жителям ДНР и ЛНР,2022-02-21 12:46:00,https://tass.ru/obschestvo/13784385,1
В Астрахани эвакуированным из Донбасса предложат для трудоустройства более 2 тыс. вакансий,2022-02-21 13:06:00,https://tass.ru/obschestvo/13784685,1
В Татарстан в ближайшее время прибудут около тысячи эвакуированных из Донбасса,2022-02-21 13:17:00,https://tass.ru/obschestvo/13784939,1
В Орловской области для обеспечения эвакуированных жителей ДНР и ЛНР ввели режим ЧС,2022-02-21 13:21:00,https://tass.ru/obschestvo/13785087,1
Эксперт: до 10% заявок на аренду жилья в Ростове приходится на эвакуированных из Донбасса,2022-02-21 13:22:00,https://tass.ru/nedvizhimost/13785001,1
Кабардино-Балкария окажет гуманитарную помощь эвакуированным из ДНР и ЛНР,2022-02-21 13:41:00,https://tass.ru/obschestvo/13785245,1
Басурин поблагодарил руководство РФ и ДНР за своевременную эвакуацию жителей республики,2022-02-21 13:51:00,https://tass.ru/mezhdunarodnaya-panorama/13784101,1
Прибывших в Волгоградскую область жителей Донбасса расселят по 94 ПВР,2022-02-21 13:52:00,https://tass.ru/obschestvo/13785537,1
Псковская область готова принять до 1 тыс. эвакуированных жителей Донбасса,2022-02-21 13:55:00,https://tass.ru/obschestvo/13785513,1
