cible,co_word,example_id,excerpt,title,url
Refugies,рф,5,"гуманитарные грузы для оказания помощи прибывшим в РФ беженцам из ДНР и ЛНР , необходимый объем уже","""Единая Россия"" окажет гуманитарную помощь эвакуированным из Донбасса жителям",https://tass.ru/ekonomika/13770261
Refugies,владимир,1,"центра . По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,владимир,2,". 
 По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,владимир,3,"действий . Президент РФ Владимир Путин поручил выплатить беженцам , прибывающим в российский регион , по 10","МЧС сообщает, что эвакуацию беженцев из Донбасса будут вести круглосуточно",https://tass.ru/obschestvo/13770969
Refugies,владимир,4,"действий . По поручению президента РФ Владимира Путина беженцам , прибывающим в российский регион , выплатят по",В Дагестане организовали сбор гуманитарной помощи для беженцев из Донбасса,https://tass.ru/obschestvo/13770453
Refugies,владимир,5,"Донбасса . По поручению президента Россиии Владимира Путина беженцам , прибывающим в российский регион , выплатят по","Курская область готова принять до 1,5 тыс. эвакуированных из Донбасса",https://tass.ru/obschestvo/13767643
Refugies,путин,1,"центра . По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,путин,2,". 
 По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,путин,3,"разместить людей из Донбасса . По поручению Путина беженцам , прибывающим в российский регион , выплатят по",Пункты пропуска на границе с Украиной в Ростовской области работают в штатном режиме,https://tass.ru/obschestvo/13771211
Refugies,путин,4,"действий . Президент РФ Владимир Путин поручил выплатить беженцам , прибывающим в российский регион , по 10","МЧС сообщает, что эвакуацию беженцев из Донбасса будут вести круглосуточно",https://tass.ru/obschestvo/13770969
Refugies,путин,5,"действий . По поручению президента РФ Владимира Путина беженцам , прибывающим в российский регион , выплатят по",В Дагестане организовали сбор гуманитарной помощи для беженцев из Донбасса,https://tass.ru/obschestvo/13770453
Refugies,прибывать,1,"центра . По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,прибывать,2,". 
 По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,прибывать,3,"разместить людей из Донбасса . По поручению Путина беженцам , прибывающим в российский регион , выплатят по",Пункты пропуска на границе с Украиной в Ростовской области работают в штатном режиме,https://tass.ru/obschestvo/13771211
Refugies,прибывать,4,"действий . Президент РФ Владимир Путин поручил выплатить беженцам , прибывающим в российский регион , по 10","МЧС сообщает, что эвакуацию беженцев из Донбасса будут вести круглосуточно",https://tass.ru/obschestvo/13770969
Refugies,прибывать,5,"действий . По поручению президента РФ Владимира Путина беженцам , прибывающим в российский регион , выплатят по",В Дагестане организовали сбор гуманитарной помощи для беженцев из Донбасса,https://tass.ru/obschestvo/13770453
Refugies,регион,1,"центра . По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,регион,2,", что готовы разместить у себя в регионе беженцев . "" Оперативно Челябинская область , то есть",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,регион,3,". 
 По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,регион,4,"разместить людей из Донбасса . По поручению Путина беженцам , прибывающим в российский регион , выплатят по",Пункты пропуска на границе с Украиной в Ростовской области работают в штатном режиме,https://tass.ru/obschestvo/13771211
Refugies,регион,5,"действий . Президент РФ Владимир Путин поручил выплатить беженцам , прибывающим в российский регион , по 10","МЧС сообщает, что эвакуацию беженцев из Донбасса будут вести круглосуточно",https://tass.ru/obschestvo/13770969
Russie,ростовский,1,объявили в пятницу об организации выезда населения в Россию . Губернатор Ростовской области Василий Голубев запросил помощь,Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Russie,ростовский,2,""" По поручению президента Российской Федерации Минфин России сегодня перечислит Ростовской области денежные средства на обеспечение",Минфин перечислит средства на выплаты в 10 тыс. рублей беженцам из ЛНР и ДНР,https://tass.ru/ekonomika/13760355
Russie,ростовский,3,"сообщили ТАСС в субботу в Пограничном управлении ФСБ России по Ростовской области . 
 Днем в субботу",Пункты пропуска на границе с Украиной в Ростовской области работают в штатном режиме,https://tass.ru/obschestvo/13771211
Russie,ростовский,4,"Пушилин заявили об эвакуации жителей республик на территорию России , в частности в Ростовскую область , в",Пункты пропуска на границе с Украиной в Ростовской области работают в штатном режиме,https://tass.ru/obschestvo/13771211
Russie,ростовский,5,"ДОНУ , 19 февраля . /ТАСС/. "" Единая Россия "" откроет в Ростовской области центр правовой поддержки",Единороссы откроют в Ростовской области центр правовой поддержки для беженцев из Донбасса,https://tass.ru/obschestvo/13769861
Russie,область,1,объявили в пятницу об организации выезда населения в Россию . Губернатор Ростовской области Василий Голубев запросил помощь,Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Russie,область,2,организации работы в область отправится врио главы МЧС России Александр Чуприян .,Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Russie,область,3,""" По поручению президента Российской Федерации Минфин России сегодня перечислит Ростовской области денежные средства на обеспечение",Минфин перечислит средства на выплаты в 10 тыс. рублей беженцам из ЛНР и ДНР,https://tass.ru/ekonomika/13760355
Russie,область,4,"сообщили ТАСС в субботу в Пограничном управлении ФСБ России по Ростовской области . 
 Днем в субботу",Пункты пропуска на границе с Украиной в Ростовской области работают в штатном режиме,https://tass.ru/obschestvo/13771211
Russie,область,5,"ДОНУ , 19 февраля . /ТАСС/. "" Единая Россия "" откроет в Ростовской области центр правовой поддержки",Единороссы откроют в Ростовской области центр правовой поддержки для беженцев из Донбасса,https://tass.ru/obschestvo/13769861
Ukraine,лнр,1,"жителей осуществляется по паспортам ЛНР , РФ или Украины . 
 В это же время украинские силовики",Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,https://tass.ru/obschestvo/13762389
Ukraine,лнр,2,сколько всего украинцев с подконтрольных киевским властям территорий Украины и жителей ДНР и ЛНР разместились на полуострове,"В РКК сообщили, что граждане Украины эвакуируются в Крым из-за столкновений в Донбассе",https://tass.ru/obschestvo/13786703
Ukraine,лнр,3,самых интенсивных за последние месяцы обстрелах со стороны Украины . 18 февраля главы ЛНР и ДНР Леонид,Крым отправил первую партию гуманитарной помощи для жителей Донбасса,https://tass.ru/obschestvo/13781335
Ukraine,лнр,4,"руководства ДНР и ЛНР специальной военной операции на Украине . Он подчеркнул , что в планы Москвы",Детей Донбасса в Ростовской области до 1 марта обеспечат книгами и канцтоварами,https://tass.ru/obschestvo/13859475
Ukraine,лнр,5,"Тюменская область готова к приему эвакуированных с территории Украины , ЛНР и ДНР . Тюменская область готова",Тюменская область подготовила 16 пунктов временного размещения для жителей Донбасса,https://tass.ru/obschestvo/13966063
Ukraine,рф,1,"жителей осуществляется по паспортам ЛНР , РФ или Украины . 
 В это же время украинские силовики",Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,https://tass.ru/obschestvo/13762389
Ukraine,рф,2,"в 10 тыс. рублей могут все жители востока Украины , которые пересекли границу РФ 18 февраля и",Выплаты эвакуированным из Донбасса будут производить до последнего заявления,https://tass.ru/obschestvo/13781791
Ukraine,рф,3,Свыше 575 тыс. беженцев прибыли в Польшу с Украины с начала военной операции РФ . Об этом,Более 575 тыс. беженцев прибыли в Польшу с Украины с 24 февраля,https://tass.ru/mezhdunarodnaya-panorama/13944571
Ukraine,рф,4,"республик ( ДНР И ЛНР ) и территории Украины , контролируемой Вооруженными силами РФ . Об этом",Около 50 тонн гуманитарной помощи для Украины и Донбасса отправили из Ярославской области,https://tass.ru/obschestvo/13982541
Ukraine,рф,5,"в Межведомственном координационном штабе по гуманитарному реагированию на Украине сообщили , что ВС РФ объявляют режим тишины",Ростовская область готова к приему беженцев с Украины,https://tass.ru/ekonomika/13991663
Russie,граница,1,"Пилавов заявил , что вскоре к границе с Россией будут отправлены около 160 детей из детдомов Луганска",Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,https://tass.ru/obschestvo/13762389
Russie,граница,2,"района Ростовской области в километре от государственной границы России с Украиной . Взрыв произошел в 04:00 ,",Продолжение обстрелов ДНР и ЛНР и мобилизация.,https://tass.ru/mezhdunarodnaya-panorama/13766181
Russie,граница,3,"Как сообщил Чуприян , к 19:00 воскресенья границу России пересекли 53 тыс. жителей Донбасса .","Выплаты в 10 тыс. рублей получили 700 жителей Донбасса, эвакуированных в Россию",https://tass.ru/ekonomika/13776071
Russie,граница,4,"в автобусы , электрички , пересекают границу с Россией . Очереди есть : это частный транспорт ,","Володацкий заявил, что эвакуация жителей Донбасса в Ростовскую область проходит штатно",https://tass.ru/obschestvo/13776067
Russie,граница,5,"- сказал он . 
 К 19:00 границу России пересекли 53 тыс. жителей Донбасса . "" К",Из Ростовской области в регионы отправятся 15 поездов с гражданами Донбасса,https://tass.ru/obschestvo/13776051
Russie,пропуск,1,"ЛНР проинформировала , что пропуск эвакуируемых на территорию России жителей осуществляется по паспортам ЛНР , РФ или",Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,https://tass.ru/obschestvo/13762389
Russie,пропуск,2,городка жизнеобеспечения развернуты силами Донского спасательного центра МЧС России в районе пунктов пропуска Весело - Вознесенка и,"Чуприян заверил беженцев из Донбасса, что МЧС РФ окажет им всю необходимую помощь",https://tass.ru/obschestvo/13766945
Russie,пропуск,3,временного размещения . Силами Донского спасательного центра МЧС России в районе пунктов пропуска Весело - Вознесенка и,На базе МЧС по Ростовской области открыли горячую линию для беженцев из Донбасса,https://tass.ru/obschestvo/13766061
Russie,пропуск,4,"детей . Продолжается работа двух городков жизнеобеспечения МЧС России на пунктах пропуска . "" Дополнительно колоннами Ногинского","В МЧС сообщили, что переселенцев из Донбасса готовы принять 43 региона",https://tass.ru/obschestvo/13781503
Russie,пропуск,5,"словам , порядка 26 тыс. человек приехали в Россию с Украины через пункты пропуска в Белгородской ,",Число прибывших в Россию из Донбасса и с Украины превысило 204 тыс. человек,https://tass.ru/obschestvo/14006303
Russie,житель,1,"ЛНР проинформировала , что пропуск эвакуируемых на территорию России жителей осуществляется по паспортам ЛНР , РФ или",Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,https://tass.ru/obschestvo/13762389
