target,type,token,freq,example_1,example_2,example_3
Benevoles,target = objet → verbe,переместить,2,"Секретарь генсовета партии ""Единая Россия"" Андрей Турчак в субботу сообщил, что партия переместила волонтеров из Балаклеи, Купянска, Изюма и Волчанска в пункт временного размещения на границе с Белгородской областью. || Titre: На границе Белгородской области для беженцев развернули пункты питания и обогрева | URL: https://tass.ru/obschestvo/15714915","Секретарь генсовета партии ""Единая Россия"" Андрей Турчак отмечал, что партия переместила волонтеров из Балаклеи, Купянска, Изюма и Волчанска в пункт временного размещения на границе с Белгородской областью. || Titre: В Воронеж прибыли порядка 420 вынужденных переселенцев из Харьковской области | URL: https://tass.ru/obschestvo/15720731",
Benevoles,target = objet → verbe,координировать,1,"Наш ресурсный центр добровольчества координирует 250 волонтеров"", - отметил Метелев. || Titre: В Госдуме заявили, что единороссы и волонтеры оказывают помощь беженцам из ДНР и ЛНР | URL: https://tass.ru/politika/13767933",,
Benevoles,target = objet → verbe,предусмотреть,1,"""Мы предусмотрели волонтеров, которые будут здесь жить с ними круглосуточно, чтобы, если понадобится помощь, ее оказали. || Titre: Воронеж начал принимать эвакуированных жителей ДНР и ЛНР | URL: https://tass.ru/obschestvo/13776141",,
Benevoles,target = objet → verbe,касаться,1,"""Что касается волонтеров, в каждом пункте временного размещения работают группы педагогов-вожатых, непосредственно проводят обучающие программы"", - сказал Никиточкин. || Titre: Во всех ПВР Ростовской области организованы занятия с эвакуированными из Донбасса детьми | URL: https://tass.ru/obschestvo/13781477",,
Benevoles,target = objet → verbe,объединить,1,"""Оперативный волонтерский штаб #МыВместе продолжает оказывать помощь жителям Донбасса, эта работа объединила уже свыше 160 волонтеров, ведь среди переселенцев - женщины, дети, пожилые и тяжело болеющие люди, которым требуется посильная помощь, моральная поддержка, а также своевременная терапия"", - сказал Артамонов. || Titre: Свыше 160 волонтеров помогают жителям Донбасса, приехавшим в Липецкую область | URL: https://tass.ru/obschestvo/13898933",,
Benevoles,target = objet → verbe,оказать,1,Сотрудники фонда доставили благотворительный груз и оказали помощь волонтерам в строительстве и обустройстве лагеря. || Titre: Кубанские волонтеры обустроили палаточный лагерь на границе для эвакуированных с Украины | URL: https://tass.ru/obschestvo/15297575,,
Benevoles,target = objet → verbe,перебрасывать,1,"Разворачиваем на границе в Белгородской области мобильные штабы с горячим питанием, перебрасываем волонтеров на это направление, направлены дополнительные силы и гуманитарная помощь из Москвы"", - написал он. || Titre: ЛДПР развернет в Белгородской области штабы для помощи беженцам | URL: https://tass.ru/obschestvo/15718479",,
Benevoles,target = objet → verbe,передавать,1,"В пресс-службе отметили, что чаще всего москвичи передавали волонтерам продукты - 27,8% от общего количества собранных вещей, канцелярию - 24%, детские товары и питание - 19,2%. || Titre: В Москве собрали более 1 тыс. тонн гумпомощи для беженцев с Донбасса | URL: https://tass.ru/obschestvo/16245887",,
Benevoles,target = objet → verbe,стать,1,/ТАСС/. Волонтерам в странах Восточной Европы и Балтии стало сложнее оказывать материальную помощь беженцам из Украины на прежнем уровне из-за экономического кризиса. || Titre: WP: жителям Восточной Европы и стран Балтии стало сложнее помогать беженцам с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/16736557,,
Benevoles,target = objet → verbe,встать,1,"Она отмечает, что цены на электроэнергию и жилье резко выросли по всей Европе и правительства ряда стран готовы сократить финансирование, выделяемое на поддержку беженцев, поэтому перед организациями по оказанию гуманитарной помощи и волонтерам встал непростой вопрос о том, как продолжать помогать покинувшим страну украинцам в предстоящем году. || Titre: WP: жителям Восточной Европы и стран Балтии стало сложнее помогать беженцам с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/16736557",,
Benevoles,target = objet → verbe,оказывать,1,"""Помощь [временно отселенным] жителям [приграничья] оказывают не менее 3 тыс. волонтеров из движения ""Мы вместе"", Народного фронта, Всероссийского студенческого корпуса спасателей, движения ""Волонтеры Победы"", а также медики. || Titre: Более 3 тыс. волонтеров помогают временно отселенным жителям белгородского приграничья | URL: https://tass.ru/obschestvo/17985413",,
Benevoles,target = objet → verbe,выехать,1,"Как уточнил ТАСС координатор молодежки Народного фронта Михаил Фокин, всего в ПВР Киржачского района Владимирской области, куда прибывают эвакуированные местные жители, готовы выехать не менее 30 волонтеров. || Titre: Волонтеры ОНФ готовятся помочь эвакуированным жителям Киржачского района | URL: https://tass.ru/obschestvo/23750341",,
Benevoles,target = objet → verbe,обнять,1,"Позже мы с ней увидимся на выходе, она вместе с детьми будет нести пакеты с продуктами, а сын от радости новой игрушке обнимет волонтера, подарившего ее. || Titre: ""Люди потерянные и не знают, с чего начать"". | URL: https://tass.ru/obschestvo/14299577",,
Benevoles,target = objet → verbe,запретить,1,"Волонтерам по негласной договоренности запрещено затрагивать ""острые"" темы, мы здесь все — вне политики, наше дело — накормить и успокоить. || Titre: ""10 километров мимо неразорвавшихся мин"". | URL: https://tass.ru/v-strane/14340553",,
Ukraine,target = objet → verbe,покинуть,36,"""Более 40 тыс. лиц, вынужденно покинувших Украину, прибыли на российскую территорию. || Titre: Более 40 тыс. жителей Донбасса прибыли в Ростовскую область | URL: https://tass.ru/obschestvo/13772201","""Каждый день я получаю большое количество обращений от желающих покинуть Украину с просьбой обеспечить для них перемещение по гуманитарным коридорам, организованным российскими военными, но до сих пор их использование не было безопасным"", - цитирует Москалькову в субботу ее Telegram-канал. || Titre: Москалькова приветствует открытие гуманитарных коридоров для жителей Мариуполя и Волновахи | URL: https://tass.ru/obschestvo/13974247","/ТАСС/. Почти 156 тыс. жителей ДНР и ЛНР эвакуированы в Россию с 18 февраля, Украину за последние дни через российские пункты пропуска покинули порядка 18 тыс. человек. || Titre: Почти 174 тыс. человек эвакуировались в Россию из Донбасса и с Украины | URL: https://tass.ru/obschestvo/13973867"
Ukraine,target = objet → verbe,покидать,2,"По словам собеседника агентства, Украину люди покидают через пункты пропусков Белгородской, Брянской, Курской областей и Республики Крым. || Titre: Число эвакуированных в Россию из Донбасса и с Украины превысило 300 тыс. | URL: https://tass.ru/obschestvo/14110831","По разным данным, Украину покидает около 60 тыс. человек в месяц. || Titre: Азаров считает, что 90% беженцев не вернутся на Украину при нынешнем режиме | URL: https://tass.ru/mezhdunarodnaya-panorama/20091377",
Ukraine,target = objet → verbe,подконтрольных,2,"16 марта сообщалось о вывозе свыше 4,5 тыс. жителей районов Сумской области, граничащих с Россией, а 7 марта украинское министерство реинтеграции объявило о принудительной эвакуации детей в четырех населенных пунктах, находящихся в подконтрольных Украине населенных пунктах ДНР. || Titre: Из 47 населенных пунктов Харьковской области принудительно эвакуируют семьи с детьми | URL: https://tass.ru/obschestvo/20516343","""В ходе боевых действий оно может быть уничтожено, ведь ВСУ не стесняются бить по гражданским объектам, в том числе на временно подконтрольных Украине территориях, для дальнейших обвинений ВС РФ в убийствах мирных жителей. || Titre: Подполье сообщило, что жители Запорожья отказываются от эвакуации, ожидая ВС РФ | URL: https://tass.ru/obschestvo/24672147",
Ukraine,target = objet → verbe,поддерживать,2,"В преддверии встречи глав государств и правительств НАТО 24 марта в Брюсселе генсек Организации Йенс Столтенберг заявил о том, что НАТО продолжит поддерживать Украину, но альянс несет ответственность за недопущение прямого конфликта с Россией. || Titre: Дипломатические баталии, помощь беженцам и газ за рубли. | URL: https://tass.ru/politika/14163795","По сведениям издания Asia Times, правительство Австралии, глава которого Энтони Альбанезе в ходе недавнего визита в Киев обещал поддерживать Украину ""столько, сколько потребуется"", внезапно объявило, что с 14 июля отменяет выдачу украинцам гуманитарных виз, позволявших им жить и работать в стране. || Titre: Украинские беженцы потянулись домой: | URL: https://tass.ru/opinions/15276009",
Russie,target = objet → verbe,уехать,1,"Домой она забежала буквально на полчаса - этого хватило, чтобы ""схватить в охапку"" троих детей, а потом вернуться на работу и уехать вместе с детьми - родными и воспитанниками - в Россию. || Titre: Детский лагерь ""Ромашка"" в Ростовской области принял 250 детей, эвакуированных из Донбасса | URL: https://tass.ru/obschestvo/13822423",,
Russie,target = objet → verbe,объявить,1,России Владимир Путин 24 февраля объявил о проведении специальной военной операции на Украине в ответ на обращение руководителей республик Донбасса о помощи. || Titre: Власти Воронежа подготовили места к приему более 1 100 жителей ДНР и ЛНР | URL: https://tass.ru/obschestvo/14091481,,
