text,published_dt,topic
"Кузнецова заявила, что россияне готовы принять в семьи детей-сирот из Донбасса",2022-02-20T10:30:17,0
В Ростовской области открыли центр юридической помощи для эвакуированных из Донбасса,2022-02-20T10:14:15,8
Новгородская область готова принять до 700 беженцев из Донбасса,2022-02-20T10:11:11,4
Более 5 тыс. жителей Донбасса на поездах в воскресенье доставят в четыре региона России,2022-02-20T09:39:22,6
Третий поезд с жителями Донбасса прибудет в Воронеж к вечеру,2022-02-20T09:33:17,-1
"Жители Донбасса с гражданством РФ, эвакуируемые в Россию, получат выплаты",2022-02-20T09:23:12,11
"В МЧС зарегистрировали почти 30 регионов, готовых принять эвакуированных из Донбасса",2022-02-20T08:58:03,-1
"В Ростовской области заявили, что жители региона предлагают помощь беженцам из Донбасса",2022-02-20T08:25:30,7
В Ростовской и Воронежской областях организуют обучение эвакуированных из Донбасса детей,2022-02-20T08:10:29,0
"Около 6,5 тыс. жителей Донбасса находятся в ПВР в Ростовской области",2022-02-20T07:48:56,6
Около 1 тыс. беженцев из ДНР и ЛНР прибыли в Воронежскую область,2022-02-20T06:53:34,5
Более 40 тыс. жителей Донбасса прибыли в Ростовскую область,2022-02-20T06:24:07,5
Первый поезд с беженцами из Донбасса прибыл в Воронежскую область,2022-02-20T05:53:33,5
МЧС России усилило группировку психологов для работы с беженцами из Донбасса,2022-02-20T05:06:12,8
В Алтайском крае заявили о готовности принять беженцев из Донбасса,2022-02-20T04:46:51,7
Амурская область готова принять беженцев из ДНР и ЛНР,2022-02-20T03:02:56,4
Губернатор ЕАО поручил подготовить пункты временного размещения для беженцев из Донбасса,2022-02-20T02:56:48,7
Управление ООН по делам беженцев намерено продолжать работу в Донбассе,2022-02-19T23:35:10,7
"Губернатор Ленобласти заявил, что большинство эвакуированных из Донбасса - дети",2022-02-21T22:00:08,0
Ведомство ООН по беженцам обсуждает с РФ вопросы помощи в связи с ситуацией в Донбассе,2022-02-21T18:56:52,7
Источник: число прибывших в РФ жителей Донбасса приблизилось к 80 тыс.,2022-02-21T18:32:52,10
Из Тюмени в Ростовскую область отправили 7 тонн гуманитарной помощи для жителей ДНР и ЛНР,2022-02-21T18:20:23,3
Бурятия готова принять 400 эвакуированных из ЛНР и ДНР,2022-02-21T18:03:06,4
Первая гуманитарная помощь от РКК поступит в Ростовскую область в ближайшее время,2022-02-21T17:58:10,3
Почти 36% подавших заявки эвакуированных из Донбасса получили выплаты в РФ,2022-02-21T17:55:55,11
Больница в Ростовской области готова оказать помощь всем нуждающимся эвакуируемым детям,2022-02-21T17:46:59,8
"Отделение ""Единой России"" в Северной Осетии направит гуманитарную помощь жителям ЛНР и ДНР",2022-02-21T17:11:35,8
Самарская область готова принять до 1 тыс. эвакуированных жителей Донбасса,2022-02-21T17:07:56,4
"""Единая Россия"" направила гуманитарную колонну для эвакуированных из ДНР и ЛНР",2022-02-21T17:07:38,8
"Около 1,5 тыс. жителей ДНР и ЛНР прибудут в Тульскую область 22 февраля",2022-02-21T17:02:15,6
Крым и Севастополь отправили около 50 тонн гуманитарной помощи жителям Донбасса,2022-02-21T17:00:25,3
В Коми подготовят ПВР на 200 мест для вынужденных переселенцев из Донбасса,2022-02-21T16:57:41,4
Эвакуированные из Донбасса дети на выходных посетят зоопарк и театр в Ростове,2022-02-21T16:32:24,0
Санаторий в Чувашии примет около 300 первых эвакуированных жителей Донбасса,2022-02-21T16:02:35,4
"Толстой: тысячи россиян готовы принять эвакуировавшихся из ДНР и ЛНР ""у себя дома""",2022-02-21T16:02:20,4
Из Астрахани в Ростов-на-Дону направили гуманитарный груз для эвакуированных с Донбасса,2022-02-21T15:49:50,3
В Москве открыли штаб по сбору гуманитарной помощи для эвакуированных из Донбасса,2022-02-21T15:48:54,8
В Ростовской области более 800 волонтеров помогают эвакуированным жителям Донбасса,2022-02-21T15:11:55,-1
"В РКК сообщили, что граждане Украины эвакуируются в Крым из-за столкновений в Донбассе",2022-02-21T14:45:51,1
В Пензенскую область прибудут более 2 тыс. жителей ДНР и ЛНР,2022-02-21T13:58:20,6
Псковская область готова принять до 1 тыс. эвакуированных жителей Донбасса,2022-02-21T13:55:10,4
Прибывших в Волгоградскую область жителей Донбасса расселят по 94 ПВР,2022-02-21T13:52:27,-1
"""Навигаторы детства"" Ставрополья поедут в Ростовскую область для работы с детьми Донбасса",2022-02-21T13:49:54,0
Кабардино-Балкария окажет гуманитарную помощь эвакуированным из ДНР и ЛНР,2022-02-21T13:41:32,3
Москалькова: жители Донбасса в Неклиновском районе Ростовской области всем обеспечены,2022-02-21T13:38:29,-1
Эксперт: до 10% заявок на аренду жилья в Ростове приходится на эвакуированных из Донбасса,2022-02-21T13:22:29,4
В Орловской области для обеспечения эвакуированных жителей ДНР и ЛНР ввели режим ЧС,2022-02-21T13:21:24,1
В Пермский край запланировали привезти порядка 500 жителей ДНР и ЛНР,2022-02-21T13:17:37,6
В Татарстан в ближайшее время прибудут около тысячи эвакуированных из Донбасса,2022-02-21T13:17:16,6
Брянская область направляет 80 тонн гуманитарной помощи эвакуированным жителям ДНР и ЛНР,2022-02-21T12:46:46,3
Дагестан отправил первую партию гуманитарной помощи для беженцев из Донбасса,2022-02-21T12:45:59,3
Единороссы отправили гумпомощь в Ростовскую и Воронежскую области для жителей Донбасса,2022-02-21T12:45:49,8
Самарская область направила гуманитарную помощь эвакуированным жителям Донбасса,2022-02-21T12:44:30,3
На содержание эвакуированных из Донбасса в ПВР выделят по 800 рублей в сутки на человека,2022-02-21T12:43:53,11
С заявлениями на получение выплат обратились 4 тыс. эвакуированных из Донбасса,2022-02-21T12:39:52,11
Орловские власти обеспечат эвакуированных жителей ДНР и ЛНР бесплатными лекарствами,2022-02-21T12:29:11,9
В Тюмени открыли три дополнительные точки по сбору помощи эвакуированным жителям Донбасса,2022-02-21T12:27:19,8
Принимающим жителей Донбасса регионам окажут помощь из федерального бюджета,2022-02-21T11:57:24,11
Из Ростовской области в другие регионы отправили 8 тыс. эвакуированных из Донбасса,2022-02-21T11:57:12,6
"""Опора России"" направит материальную помощь переселенцам из Донбасса",2022-02-21T11:29:12,8
В Брянскую и Орловскую области первые поезда с жителями ДНР и ЛНР прибудут 22 февраля,2022-02-21T11:27:01,6
Единороссы в Петербурге открыли пункт сбора гуманитарной помощи для жителей Донбасса,2022-02-21T11:08:17,8
В Ульяновской области ввели режим ЧС в связи с принятием эвакуированных жителей Донбасса,2022-02-21T10:55:12,1
Ростовские власти прорабатывают вопрос выплат для воспитанников детдомов Донбасса,2022-02-21T10:47:11,0
ВЦИОМ: около 80% россиян поддерживают решение о приеме эвакуированных из ДНР и ЛНР,2022-02-21T10:36:56,-1
Республика Алтай готова принять до ста эвакуированных из ДНР и ЛНР,2022-02-21T10:28:52,4
"В Ростовской области за сутки разместили в ПВР 2,3 тыс. эвакуированных из Донбасса",2022-02-21T10:10:10,6
Выплаты эвакуированным из Донбасса будут производить до последнего заявления,2022-02-21T10:01:50,11
Во всех ПВР Ростовской области организованы занятия с эвакуированными из Донбасса детьми,2022-02-21T09:52:37,0
В Орловской области для беженцев ЛНР и ДНР развернули шесть пунктов временного размещения,2022-02-21T09:48:48,9
"В МЧС сообщили, что переселенцев из Донбасса готовы принять 43 региона",2022-02-21T09:41:41,7
Крым отправил первую партию гуманитарной помощи для жителей Донбасса,2022-02-21T09:30:31,3
Из Луганска отправился третий пассажирский поезд с эвакуируемыми в Россию жителями ЛНР,2022-02-21T09:20:28,5
В Калужской области подготовили пункты для приема 350 жителей ДНР и ЛНР,2022-02-21T09:16:03,9
"Первые 1,5 тыс. жителей Донбасса прибудут в Подмосковье 22 февраля",2022-02-21T09:14:17,6
В Рязанской области для приема эвакуированных жителей Донбасса подготовили 13 ПВР,2022-02-21T09:11:58,9
Ленобласть распределит в школы прибывающих из Донбасса детей,2022-02-21T08:46:18,0
"Челябинские власти заявили, что область готова принять 1,3 тыс. эвакуированных с Донбасса",2022-02-21T08:45:14,4
"Кремль проинформирует, если у Путина появятся планы посетить эвакуированных из Донбасса",2022-02-21T08:43:03,7
Песков: эвакуация населения Донбасса вызвана агрессией и провокациями военных Украины,2022-02-21T08:40:46,-1
В Чувашии готовятся принять эвакуированных жителей Донбасса,2022-02-21T08:37:48,8
Липецкая область готова принять в ближайшие сутки 750 эвакуированных жителей Донбасса,2022-02-21T08:27:33,4
Власти Ростовской области предложат работу эвакуированным жителям Донбасса,2022-02-21T08:23:55,4
Более 21 тыс. жителей Донбасса пересекли за сутки границу России в Ростовской области,2022-02-21T08:05:48,2
Четвертый за сутки поезд с эвакуированными жителями Донбасса прибыл в Воронеж,2022-02-21T08:01:12,5
В Волгоградской области ввели режим ЧС в связи с прибытием жителей Донбасса,2022-02-21T07:50:40,1
В Курскую область прибыл второй поезд с эвакуированными жителями ДНР и ЛНР,2022-02-21T07:44:07,5
Более 6 тыс. жителей Донбасса находятся в 99 пунктах размещения в Ростовской области,2022-02-21T07:13:43,6
Жителей Донбасса разместят в двух пунктах Астраханской области,2022-02-21T07:09:37,9
Забайкалье готово принять не менее 700 эвакуированных жителей Донбасса,2022-02-21T06:58:14,4
Мурманская область готова принять не менее 300 эвакуированных с Донбасса,2022-02-21T06:55:40,4
Почти 2 тыс. школьников из Донбасса зачислят в школы Ростовской области,2022-02-21T06:55:03,0
"Власти Владимирской области заявили о готовности разместить 1,5 тыс. жителей ДНР и ЛНР",2022-02-21T06:49:51,9
Эвакуируемые из Донбасса смогут подавать заявления на выплаты уже на границе России,2022-02-21T06:49:47,11
В Саратовской области введут режим ЧС из-за ожидаемого прибытия жителей Донбасса,2022-02-21T06:46:26,1
В Россию прибыли более 61 тыс. жителей Донбасса,2022-02-21T06:18:30,10
Более 600 жителей ДНР и ЛНР разместили в четырех пунктах временного размещения в Воронеже,2022-02-21T06:03:49,9
Москалькова направила в Ростовскую область сотрудников для помощи жителям Донбасса,2022-02-21T05:45:44,3
В Пензенской области ввели режим ЧС в связи с ожидаемым прибытием жителей Донбасса,2022-02-21T04:59:09,1
Первый поезд с эвакуированными жителями ДНР и ЛНР прибыл в Пензенскую область,2022-02-22T20:48:54,5
В КЧР открыли пункт сбора гуманитарной помощи для эвакуированных из ДНР и ЛНР,2022-02-22T19:39:31,8
"Турчак сообщил, что эвакуированным из Донбасса детям нужны книги и канцелярия",2022-02-22T19:22:47,7
"Источник: на территорию России въехали более 93,5 тыс. жителей Донбасса",2022-02-22T19:06:40,10
Эвакуированных жителей Донбасса разместили в пунктах пребывания в Подмосковье,2022-02-22T18:41:16,9
"В Ростовской области заявили, что система помощи жителям Донбасса действует слаженно",2022-02-22T18:29:02,7
В Ингушетии открыли пункт приема гуманитарной помощи для эвакуированных жителей Донбасса,2022-02-22T18:17:25,8
"В школы Ростова-на-Дону пошел 361 ребенок, эвакуированный с Донбасса",2022-02-22T18:14:24,0
Система здравоохранения РФ готова оказать медицинскую помощь эвакуированным из ЛНР и ДНР,2022-02-22T18:07:00,8
Эвакуированным жителям Донбасса предоставят места в ростовских детсадах,2022-02-22T17:42:30,0
Жители Донбасса продолжают эвакуироваться в Россию в ожидании стабилизации обстановки,2022-02-22T17:30:14,9
Количество пересекающих границу РФ жителей Донбасса сокращается,2022-02-22T17:13:15,2
Ростовская область подготовила почти 1 тыс. коек для приема жителей Донбасса с COVID-19,2022-02-22T15:56:48,11
В Подмосковье ввели режим повышенной готовности из-за прибытия эвакуированных из Донбасса,2022-02-22T15:35:04,1
В санаториях и гостиницах Карелии готовы принять до 300 человек из ДНР и ЛНР,2022-02-22T15:34:04,4
Карачаево-Черкесия направила 20 тонн гуманитарной помощи эвакуированным из ДНР и ЛНР,2022-02-22T14:58:11,3
"Минпросвещения России окажет помощь детям и семьям, прибывающим из ДНР и ЛНР",2022-02-22T14:22:03,8
Из Рязанской области отправили первые 6 тонн гуманитарной помощи для жителей Донбасса,2022-02-22T14:21:53,3
Регионы ЦФО собирают детские игрушки и деньги для жителей Донбасса,2022-02-22T14:14:26,-1
"Чуприян заявил, что основные вопросы с размещением эвакуированных жителей Донбасса решены",2022-02-22T13:51:43,7
"Москалькова: жители Донбасса вернутся домой, когда почувствуют там безопасность",2022-02-22T13:41:03,9
"Лозбинев заявил, что жители Донбасса обеспечены в Ростовской области всем необходимым",2022-02-22T13:38:16,7
Жители Донбасса могут получить статус вынужденных переселенцев,2022-02-22T13:20:58,-1
В Ростовскую область прибыли воспитанники 23 детских учреждений из Донбасса,2022-02-22T13:16:56,0
В Пятигорске открыт сбор гуманитарной помощи для жителей Донбасса,2022-02-22T13:15:53,8
"Свыше 200 волонтеров и спасателей помогают жителям Донбасса, приехавшим в Липецкую область",2022-02-22T13:12:37,-1
"В Ростовской области 6,8 тыс. эвакуированных из Донбасса обратились за получением выплат",2022-02-22T12:26:06,11
Медведев призвал без промедления обеспечить комфортные условия приезжающим из Донбасса,2022-02-22T12:21:19,7
Волонтеры #МыВместе в Кабардино-Балкарии помогут эвакуированным из ЛНР и ДНР,2022-02-22T12:05:04,3
Специалисты Минздрава РФ работают в пунктах временного размещения жителей ЛНР и ДНР,2022-02-22T11:48:25,8
В Ростовской области для эвакуированных жителей Донбасса подготовили около 200 ПВР,2022-02-22T11:09:34,9
"Песков заявил, что пребывание в России эвакуированных жителей Донбасса является временным",2022-02-22T11:05:39,7
Пункт временного размещения для самостоятельно приехавших жителей ДНР и ЛНР откроют в Туле,2022-02-22T11:03:10,9
В Белгородскую область прибыл первый поезд с эвакуированными жителями ДНР и ЛНР,2022-02-22T10:20:28,5
МЧС России доставит 228 тонн гуманитарной помощи эвакуированным из Донбасса,2022-02-22T10:18:11,3
Бурятия отправила 15 тонн гуманитарной помощи для эвакуированных из ЛНР и ДНР,2022-02-22T10:17:50,3
Москвичи начали приносить продукты в пункты сбора для эвакуированных из Донбасса,2022-02-22T09:58:44,3
Первый поезд с эвакуированными жителями Донбасса прибыл в Липецкую область,2022-02-22T09:54:46,5
В Ростовской области 8 тыс. человек оказывают помощь эвакуированным жителям Донбасса,2022-02-22T09:30:23,-1
Школьные отряды вожатых организуют досуг для эвакуированных в РФ детей из Донбасса,2022-02-22T09:13:29,0
"Оренбургская область готова принять 200 человек, эвакуированных из Донбасса",2022-02-22T09:11:00,4
Генпрокуратура организовала мобильные приемные для прибывающих из Донбасса граждан,2022-02-22T08:55:35,8
В Ростовской области для жителей Донбасса развернули почти 190 пунктов размещения,2022-02-22T08:44:42,9
В Подмосковье не планируют вводить режим ЧС для помощи эвакуированным жителям Донбасса,2022-02-22T08:40:04,1
Удмуртия подготовила 250 мест для размещения эвакуированных жителей Донбасса,2022-02-22T08:21:11,9
Более 20 тыс. жителей Донбасса за сутки пересекли границу с РФ в Ростовской области,2022-02-22T07:41:07,2
Пациентов санатория на Урале досрочно выписали для размещения эвакуированных из Донбасса,2022-02-22T07:05:20,9
Более 11 тыс. жителей Донбасса направили поездами в регионы РФ из Ростовской области,2022-02-22T06:43:08,6
Около 700 эвакуируемых жителей ДНР и ЛНР примут в Рязанской области,2022-02-22T06:17:19,4
Поезд с эвакуированными жителями Донбасса прибыл в Наро-Фоминск,2022-02-22T06:06:23,5
В Ульяновск прибыл первый поезд с эвакуированными жителями Донбасса,2022-02-22T04:11:00,5
Из Адыгеи в Ростов-на-Дону направили гуманитарный груз для эвакуированных с Донбасса,2022-02-22T02:19:25,3
В Нижний Новгород прибыл поезд с эвакуированными жителями ДНР и ЛНР,2022-02-21T23:15:22,5
В Тульской области расширили положения о режиме повышенной готовности для приема беженцев,2022-02-21T23:00:14,1
Более 100 тыс. вынужденных переселенцев из Донбасса пересекли границу с Россией,2022-02-23T17:36:47,2
"Детский лагерь ""Ромашка"" в Ростовской области принял 250 детей, эвакуированных из Донбасса",2022-02-23T16:49:11,0
